Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
7381.0,23.4,22.5,24.0,12.4,12.1,13.4
7381.25,24.6,23.7,25.2,12.3,12.3,13.3
7381.5,24.4,23.5,25.3,12.1,12.1,13.0
7381.75,25.1,24.7,26.1,12.3,12.2,13.4
7382.0,24.7,25.4,26.0,12.4,12.0,13.2
7382.25,24.5,25.0,25.9,12.1,11.7,13.1
7382.5,25.2,24.5,26.5,12.7,12.2,13.7
7382.75,25.1,24.2,26.3,12.4,11.9,13.4
7383.0,25.2,24.5,26.3,12.5,11.9,13.5
7383.25,25.2,24.8,26.3,12.6,12.0,13.5
7383.5,24.8,23.2,26.1,12.2,11.3,13.2
7383.75,24.9,23.2,26.1,12.2,11.3,13.3
7384.0,24.2,23.3,25.8,12.0,11.0,13.1
7384.25,23.5,23.1,25.0,12.3,11.1,13.3
7384.5,23.3,22.5,24.6,12.7,11.5,13.6
7384.75,5.43,3.9,4.15,0.798,0.862,0.839
7385.0,2.31,2.44,1.18,-0.56,0.172,-0.57
7385.25,2.43,2.01,1.08,-0.62,0.19,-0.72
7385.5,2.45,1.96,1.26,-0.31,0.117,-0.38
7385.75,2.22,0.999,0.913,-0.66,-0.42,-0.82
7386.0,2.21,1.08,0.967,-0.6,-0.37,-0.81
7386.25,2.26,1.16,1.09,-0.56,-0.27,-0.66
7386.5,2.16,1.04,1.01,-0.65,-0.38,-0.73
7386.75,2.11,0.98,0.899,-0.68,-0.42,-0.83
7387.0,1.18,0.534,0.594,-0.65,-0.38,-0.89
7387.25,1.16,0.644,0.961,-0.62,-0.39,-0.83
7387.5,1.13,0.391,0.421,-0.63,-0.41,-0.82
7387.75,1.08,0.307,0.463,-0.64,-0.37,-0.76
7388.0,1.08,0.294,0.355,-0.64,-0.4,-0.85
7388.25,1.08,0.306,0.3,-0.65,-0.39,-0.91
7388.5,1.08,0.318,0.374,-0.65,-0.38,-0.84
7388.75,1.1,0.322,0.371,-0.64,-0.37,-0.84
7389.0,1.08,0.29,0.3,-0.67,-0.43,-0.93
7389.25,1.08,0.29,0.34,-0.67,-0.44,-0.89
7389.5,1.09,0.362,0.365,-0.67,-0.35,-0.86
7389.75,1.08,0.302,0.3,-0.67,-0.42,-0.95
7390.0,1.08,0.29,0.312,-0.65,-0.42,-0.91
7390.25,1.11,0.349,0.368,-0.63,-0.41,-0.85
7390.5,1.09,0.338,0.3,-0.66,-0.37,-0.95
7390.75,1.07,0.293,0.337,-0.67,-0.44,-0.9
7391.0,1.07,0.287,0.364,-0.66,-0.45,-0.86
7391.25,1.07,0.305,0.3,-0.64,-0.37,-0.91
7391.5,1.06,0.297,0.333,-0.64,-0.38,-0.87
7391.75,1.09,0.309,0.441,-0.61,-0.37,-0.74
7392.0,1.08,0.303,0.349,-0.63,-0.39,-0.86
7392.25,1.06,0.314,0.3,-0.63,-0.35,-0.88
7392.5,1.06,0.29,0.346,-0.63,-0.4,-0.84
7392.75,1.06,0.315,0.336,-0.64,-0.38,-0.85
7393.0,1.07,0.329,0.3,-0.64,-0.36,-0.91
7393.25,1.08,0.293,0.359,-0.63,-0.41,-0.85
7393.5,1.09,0.291,0.349,-0.62,-0.42,-0.86
7393.75,1.07,0.29,0.321,-0.65,-0.43,-0.9
7394.0,1.07,0.357,0.348,-0.66,-0.34,-0.88
7394.25,1.07,0.28,0.349,-0.65,-0.44,-0.87
7394.5,1.07,0.285,0.3,-0.66,-0.45,-0.93
7394.75,1.07,0.298,0.369,-0.67,-0.44,-0.87
7395.0,1.11,0.338,0.321,-0.62,-0.37,-0.91
7395.25,1.07,0.295,0.3,-0.67,-0.44,-0.95
7395.5,1.08,0.288,0.357,-0.67,-0.46,-0.88
7395.75,1.08,0.303,0.325,-0.67,-0.43,-0.93
7396.0,1.08,0.294,0.3,-0.67,-0.45,-0.96
7396.25,1.08,0.318,0.411,-0.68,-0.41,-0.82
7396.5,1.09,0.28,0.366,-0.64,-0.44,-0.86
7396.75,1.09,0.309,0.374,-0.63,-0.38,-0.84
7397.0,1.07,0.29,0.329,-0.65,-0.42,-0.88
7397.25,1.07,0.315,0.318,-0.64,-0.39,-0.89
7397.5,1.07,0.311,0.323,-0.65,-0.4,-0.89
7397.75,1.07,0.303,0.342,-0.67,-0.43,-0.89
7398.0,1.07,0.29,0.327,-0.66,-0.45,-0.89
7398.25,1.1,0.289,0.33,-0.62,-0.44,-0.88
7398.5,1.07,0.325,0.313,-0.65,-0.37,-0.91
7398.75,1.07,0.318,0.355,-0.65,-0.4,-0.85
7399.0,12.5,11.5,11.9,6.57,6.3,7.14
7399.25,25.8,24.5,25.8,15.8,14.9,17.2
7399.5,29.3,28.4,30.7,18.3,17.0,20.1
7399.75,26.6,25.9,28.0,16.0,15.3,18.0
7400.0,27.5,26.7,28.6,15.8,14.9,17.8
7400.25,26.5,26.0,27.8,15.1,14.4,17.6
7400.5,25.0,24.5,26.2,14.4,13.7,16.8
7400.75,22.8,23.1,24.5,13.7,12.9,15.8
7401.0,20.9,21.1,22.5,12.8,12.0,14.7
7401.25,21.1,21.2,22.6,13.1,12.2,14.9
7401.5,21.5,21.4,22.8,13.3,12.4,14.9
7401.75,21.3,21.2,22.5,13.2,12.4,14.5
7402.0,23.8,24.2,24.1,14.3,14.1,15.2
7402.25,25.3,25.6,25.1,15.6,15.5,16.7
7402.5,24.9,24.7,24.3,15.6,15.1,16.6
7402.75,23.7,23.1,23.1,14.8,14.1,15.6
7403.0,22.9,22.7,22.3,14.2,13.6,15.2
7403.25,25.2,24.7,24.8,15.7,14.9,16.7
7403.5,25.7,25.0,24.9,16.0,15.3,16.6
7403.75,25.0,24.4,24.6,15.5,15.0,16.4
7404.0,26.6,25.2,26.3,15.8,15.6,17.4
7404.25,24.3,22.9,24.1,14.6,14.3,16.1
7404.5,26.2,24.8,26.2,15.7,15.3,17.4
7404.75,26.4,25.1,26.5,16.0,15.6,17.5
7405.0,27.8,26.4,28.2,16.2,15.9,17.6
7405.25,27.9,26.0,28.4,15.9,15.5,17.2
7405.5,27.6,25.9,28.3,15.6,15.2,16.8
7405.75,27.6,26.3,28.3,15.6,15.2,16.9
7406.0,27.5,26.1,28.4,15.3,14.9,16.8
7406.25,27.2,26.5,28.5,15.3,14.8,16.8
7406.5,27.8,26.8,29.1,15.7,15.3,17.4
7406.75,27.6,26.1,29.0,15.5,15.1,17.3
7407.0,27.8,26.4,29.0,15.8,15.2,17.3
7407.25,28.0,26.7,29.1,15.8,15.3,17.5
7407.5,29.4,28.1,30.8,16.6,15.9,18.2
7407.75,27.7,26.8,29.2,15.8,15.0,17.5
7408.0,27.1,26.1,28.3,15.4,14.9,17.1
7408.25,27.1,26.1,28.4,15.5,14.8,17.2
7408.5,27.0,25.5,27.8,15.6,14.5,17.2
7408.75,27.0,25.3,27.7,15.6,14.2,17.0
7409.0,24.3,23.7,26.0,14.7,13.6,16.5
7409.25,24.3,23.4,25.5,14.4,13.5,16.3
7409.5,24.9,23.8,26.0,14.8,13.7,16.3
7409.75,24.7,23.5,25.6,14.8,13.7,16.2
7410.0,25.4,24.0,26.2,14.9,13.8,16.4
7410.25,25.1,23.9,26.0,14.5,13.5,16.2
7410.5,23.6,23.1,25.3,13.7,12.7,15.6
7410.75,23.6,22.9,25.1,13.5,12.4,15.5
7411.0,22.8,22.3,24.3,13.5,12.4,15.3
7411.25,22.0,21.5,23.7,13.1,11.7,15.1
7411.5,21.0,20.9,23.2,13.3,12.0,15.2
7411.75,20.3,20.2,22.3,12.8,11.6,14.9
7412.0,20.2,19.9,22.3,12.9,11.4,14.9
7412.25,19.8,20.0,22.3,13.0,11.5,15.0
7412.5,19.9,20.2,22.3,13.0,11.6,15.0
7412.75,19.5,19.9,21.8,12.1,11.0,14.1
7413.0,18.9,19.3,21.1,12.1,11.1,14.0
7413.25,18.0,18.1,19.4,12.5,11.5,14.2
