Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
7885.750000,0.974110,0.974957,0.973668,0.973134,0.972846,0.972692,0.976214,0.969532,0.966356,0.967870,0.966688,0.967141,0.964721,0.965088,0.970785,0.965089,0.966686
7886.000000,0.973054,0.973899,0.972533,0.972071,0.971775,0.971619,0.975215,0.968423,0.965158,0.966762,0.965439,0.965747,0.963426,0.963789,0.970060,0.963806,0.965347
7886.250000,0.972895,0.973673,0.972274,0.971936,0.971645,0.971489,0.975013,0.968409,0.964880,0.966797,0.965018,0.965267,0.962911,0.963297,0.969769,0.963315,0.964942
7886.500000,0.972912,0.973712,0.972312,0.971936,0.971644,0.971492,0.975047,0.968414,0.965083,0.966776,0.965217,0.965415,0.963221,0.963577,0.969782,0.963605,0.965103
7886.750000,0.973608,0.974338,0.972957,0.972664,0.972379,0.972229,0.975655,0.969159,0.965989,0.967579,0.965936,0.966152,0.963983,0.964330,0.970454,0.964358,0.965882
7887.000000,0.973905,0.974626,0.973267,0.972965,0.972680,0.972534,0.975924,0.969383,0.966588,0.967811,0.966436,0.966505,0.964589,0.964903,0.970155,0.964942,0.966385
7887.250000,0.974048,0.974858,0.973533,0.973105,0.972826,0.972683,0.976125,0.969627,0.966820,0.968039,0.966788,0.966811,0.964986,0.965286,0.970438,0.965336,0.966730
7887.500000,0.974204,0.975050,0.973785,0.973249,0.972966,0.972827,0.976303,0.969755,0.967165,0.968147,0.967209,0.967297,0.965520,0.965797,0.970772,0.965838,0.967165
7887.750000,0.974067,0.974891,0.973620,0.973113,0.972837,0.972699,0.976150,0.969712,0.966576,0.968115,0.966991,0.967115,0.965256,0.965548,0.970583,0.965588,0.966812
7888.000000,0.974519,0.975333,0.974081,0.973589,0.973320,0.973188,0.976562,0.970258,0.966961,0.968700,0.967503,0.967715,0.965811,0.966102,0.971031,0.966150,0.967227
7888.250000,0.975652,0.976418,0.975200,0.974758,0.974496,0.974366,0.977594,0.971362,0.968279,0.969856,0.968806,0.968945,0.967197,0.967461,0.972184,0.967524,0.968521
7888.500000,0.976519,0.977247,0.976062,0.975656,0.975409,0.975284,0.978386,0.972327,0.969006,0.970865,0.969785,0.969955,0.968232,0.968488,0.973021,0.968553,0.969400
7888.750000,0.977876,0.978569,0.977453,0.977044,0.976806,0.976683,0.979647,0.973748,0.970870,0.972330,0.971238,0.971382,0.969674,0.969932,0.974465,0.970008,0.971065
7889.000000,0.979424,0.980085,0.979044,0.978640,0.978422,0.978305,0.981088,0.975477,0.972888,0.974156,0.972870,0.972935,0.971274,0.971538,0.976625,0.971629,0.972935
7889.250000,0.980893,0.981547,0.980591,0.980145,0.979942,0.979835,0.982469,0.977083,0.974744,0.975820,0.974665,0.974794,0.973198,0.973438,0.978247,0.973532,0.974797
7889.500000,0.982466,0.983103,0.982237,0.981747,0.981564,0.981469,0.983947,0.978806,0.976561,0.977592,0.976621,0.976897,0.975332,0.975536,0.980003,0.975633,0.976715
7889.750000,0.983178,0.983912,0.983104,0.982450,0.982275,0.982187,0.984698,0.979609,0.977691,0.978388,0.977685,0.977980,0.976521,0.976698,0.980934,0.976798,0.977844
7890.000000,0.997642,0.996127,0.995594,0.998201,0.998554,0.998895,0.996498,0.993524,0.993264,0.994915,0.990226,0.990624,0.989180,0.989358,0.992929,0.989362,0.990406
7890.250000,0.997764,0.996312,0.995798,0.998290,0.998623,0.998946,0.996665,0.993630,0.993492,0.994950,0.990515,0.990811,0.989532,0.989689,0.993150,0.989694,0.990674
7890.500000,0.997805,0.996476,0.995995,0.998281,0.998592,0.998894,0.996802,0.993735,0.993283,0.994933,0.990758,0.991261,0.989794,0.989958,0.993323,0.989938,0.990856
7890.750000,0.997950,0.996726,0.996280,0.998374,0.998670,0.998959,0.997026,0.993961,0.993533,0.995065,0.991212,0.991655,0.990356,0.990500,0.993654,0.990482,0.991292
7891.000000,0.997896,0.996715,0.996281,0.998305,0.998601,0.998888,0.997008,0.993929,0.993429,0.995006,0.991312,0.991718,0.990515,0.990647,0.993690,0.990633,0.991327
7891.250000,0.998044,0.996813,0.996371,0.998470,0.998769,0.999059,0.997112,0.994108,0.993665,0.995224,0.991379,0.991668,0.990574,0.990706,0.993777,0.990702,0.991406
7891.500000,0.998293,0.997011,0.996572,0.998734,0.999035,0.999323,0.997312,0.994358,0.993821,0.995495,0.991612,0.991805,0.990820,0.990942,0.994013,0.990933,0.991571
7891.750000,0.998381,0.997102,0.996664,0.998818,0.999118,0.999404,0.997401,0.994471,0.993992,0.995602,0.991674,0.991842,0.990865,0.990991,0.994108,0.990983,0.991688
7892.000000,0.997977,0.996767,0.996330,0.998367,0.998665,0.998954,0.997059,0.993994,0.993356,0.995074,0.991227,0.991495,0.990339,0.990492,0.994247,0.990483,0.991238
7892.250000,0.998037,0.996823,0.996389,0.998409,0.998698,0.998979,0.997114,0.994067,0.993248,0.995123,0.991223,0.991577,0.990308,0.990474,0.994302,0.990452,0.991220
7892.500000,0.998044,0.996873,0.996450,0.998389,0.998665,0.998933,0.997156,0.994062,0.993315,0.995059,0.991223,0.991629,0.990252,0.990441,0.994375,0.990414,0.991348
7892.750000,0.997943,0.996860,0.996458,0.998248,0.998511,0.998766,0.997128,0.993945,0.993247,0.994864,0.991230,0.991609,0.990223,0.990423,0.994396,0.990406,0.991438
7893.000000,0.974907,0.977683,0.976982,0.973109,0.972506,0.972054,0.978482,0.971935,0.968395,0.968550,0.971920,0.972279,0.970958,0.971139,0.974667,0.971117,0.972120
7893.250000,0.975242,0.978043,0.977361,0.973443,0.972848,0.972400,0.978824,0.972311,0.968886,0.968932,0.972465,0.972836,0.971618,0.971765,0.975071,0.971739,0.972602
7893.500000,0.975130,0.978028,0.977367,0.973288,0.972678,0.972216,0.978792,0.972235,0.968653,0.968768,0.972515,0.972832,0.971667,0.971815,0.975081,0.971792,0.972629
7893.750000,0.974971,0.977908,0.977253,0.973114,0.972498,0.972029,0.978671,0.972091,0.968500,0.968595,0.972415,0.972750,0.971579,0.971729,0.974974,0.971706,0.972533
